year,USCensus,PopulationBureau,UN,HYDE,Maddison
0,,300000000,300000000,,230820000
14,,,,,
200,,,,,
350,,,,,
400,,,,,
500,,,,,
600,,,,,
700,,,,,
800,,,,,
900,,,,,
1000,,,310000000,,267573000
1100,,,,,
1200,,450000000,,,
1250,,,400000000,,
1300,,,,,
1340,,,,,
1400,,,,,
1500,,,500000000,,438428000
1600,,,,,556148000
1650,,500000000,,,
1700,,,,640035774,603490000
1710,,,,662378306,
1720,,,,679615896,
1730,,,,689283580,
1740,,,,769991547,
1750,,795000000,791000000,824276110,
1760,,,,846137329,
1770,,,,864445832,
1780,,,,949409344,
1790,,,,982617842,
1800,,,978000000,980851296,
1810,,,,1045073963,
1820,,,,1069841690,1041834000
1830,,,,1138392564,
1840,,,,1192729394,
1850,,1265000000,1262000000,1244327949,
1860,,,,1270044073,
1870,,,,1309430136,1271915000
1875,,,,,
1880,,,,1397685022,
1890,,,,1516025314,
1900,,1656000000,1650000000,1633848213,1563622000
1910,,,1750000000,1753594443,
1913,,,,,1791091000
1920,,,1860000000,1888034127,
1925,,,,,
1930,,,2070000000,2073363421,
1940,,,2300000000,2299541939,
1950,2555974605,2516000000,2529346000,2528313293,2524324000
1955,2780923093,,2763453000,2767727535,2766471000
1960,3041697768,,3023358000,3035624545,3038795000
1962,3138922062,,,3155862958,3132691000
1965,3349287332,,3331670000,3351348699,3328882000
1966,3419728217,,,3420389193,3397631000
1970,3711961664,,3685777000,3696590163,3685058000
1973,3941550996,,,3923325629,3916489000
1975,4088611586,,4061317000,4073741819,4065408000
1980,4452547522,,4437609000,4442296596,4435598000
1985,4852051940,,4846247000,4843949085,4830813000
1990,5283687429,,5290452000,5279521283,5259502000
1995,5696676739,5760000000,5713073000,5692354537,5677287000
1998,5932090951,,,5930407103,5914930000
1999,6008254795,,,6008326071,5997967000
2000,6083550220,,6115367000,6085574386,6071144000
2001,6159242510,,,,6149006000
2002,6234361771,6215000000,,6238183321,
2005,6456443080,6477000000,6512276000,6464751609,
2006,6530984631,6555000000,,6540285038,
2007,6606214786,6625000000,,6615854053,
2008,6681112529,6705000000,,6691483957,
2009,6755987239,,,,
2010,6830586985,,6908688000,6842925208,
2015,7200008584,,7302186000,7219433211,
2020,7557514266,,7674833000,7577890552,
2025,7892758722,8000000000,8011533000,7905241284,
2030,8202205367,,8308895000,8199106302,
2035,8487066951,,8570570000,,
2040,8748743446,,8801196000,,
2045,8987418540,,8996344000,,
2050,9202458484,9352000000,9149984000,,
